player_id,player_name,team,position,gameweek,opponent_team,was_home,kickoff_time,fixture_id,minutes,goals,assists,yellow_cards,red_cards,own_goals,clean_sheets,saves,penalties_saved,penalties_missed,defensive_contribution,goals_conceded,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,selected,actual_points,calculated_points
19,Martinelli,Arsenal,MID,34,Newcastle,True,2026-04-25T16:30:00Z,331,37,0,0,1,0,0,0,0,0,0,4,0,0,1,0.12,0.01,0.13,0.64,68,117493,0,0
19,Martinelli,Arsenal,MID,35,Fulham,True,2026-05-02T16:30:00Z,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,68,116532,0,0
19,Martinelli,Arsenal,MID,36,West Ham,False,2026-05-10T15:30:00Z,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,68,114838,0,0
19,Martinelli,Arsenal,MID,37,Burnley,True,2026-05-18T19:00:00Z,361,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0.00,0.00,0.00,0.00,68,114140,1,1
19,Martinelli,Arsenal,MID,38,Crystal Palace,False,2026-05-24T15:00:00Z,373,90,0,1,0,0,0,0,0,0,0,4,1,2,28,0.13,0.24,0.37,0.98,68,119690,7,7
20,Trossard,Arsenal,MID,1,Man Utd,False,2025-08-17T15:30:00Z,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,70,38245,0,0
20,Trossard,Arsenal,MID,2,Leeds,True,2025-08-23T16:30:00Z,11,37,0,0,0,0,0,0,0,0,0,0,0,0,4,0.07,0.03,0.10,0.00,70,35043,1,1
20,Trossard,Arsenal,MID,3,Liverpool,False,2025-08-31T15:30:00Z,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,69,33601,0,0
20,Trossard,Arsenal,MID,4,Nott'm Forest,True,2025-09-13T11:30:00Z,31,11,0,1,0,0,0,0,0,0,0,0,0,0,12,0.00,0.26,0.26,0.10,69,30724,4,4
20,Trossard,Arsenal,MID,5,Man City,True,2025-09-21T15:30:00Z,41,83,0,0,0,0,0,0,0,0,0,4,1,0,13,0.14,0.07,0.21,0.89,69,31485,2,2
20,Trossard,Arsenal,MID,6,Newcastle,False,2025-09-28T15:30:00Z,58,87,0,0,0,0,0,0,0,0,0,2,1,0,5,0.33,0.12,0.45,0.58,69,32855,2,2
20,Trossard,Arsenal,MID,7,West Ham,True,2025-10-04T14:00:00Z,61,74,0,0,0,0,0,1,0,0,0,4,0,0,16,0.12,0.09,0.21,0.36,69,35798,3,3
20,Trossard,Arsenal,MID,8,Fulham,False,2025-10-18T16:30:00Z,74,80,1,0,0,0,0,1,0,0,0,6,0,2,28,0.60,0.07,0.67,0.40,69,37573,10,10
20,Trossard,Arsenal,MID,9,Crystal Palace,True,2025-10-26T14:00:00Z,81,90,0,0,0,0,0,1,0,0,0,7,0,0,4,0.34,0.05,0.39,0.47,69,49929,3,3
20,Trossard,Arsenal,MID,10,Burnley,False,2025-11-01T15:00:00Z,92,90,0,1,0,0,0,1,0,0,0,3,0,0,23,0.27,0.15,0.42,0.37,69,62888,6,6
20,Trossard,Arsenal,MID,11,Sunderland,False,2025-11-08T17:30:00Z,108,90,1,0,0,0,0,0,0,0,0,5,2,2,32,0.05,0.31,0.36,0.44,69,85004,9,9
20,Trossard,Arsenal,MID,12,Spurs,True,2025-11-23T16:30:00Z,111,77,1,1,0,0,0,0,0,0,0,7,1,2,39,0.22,0.08,0.30,0.06,69,119150,12,12
