player_id,fpl_full_name,fpl_team,understat_id,understat_name,understat_score,needs_review_understat,review_reason_understat,fbref_id,fbref_name,fbref_score,needs_review_fbref,review_reason_fbref,needs_review,total_minutes
115,Benjamin Fredrick,Brentford,9678,Ethan Pinnock,46.666666666666664,True,low name-match confidence,Ethan Pinnock,Ethan Pinnock,46.666666666666664,True,low name-match confidence,True,0
114,Benjamin Arthur,Brentford,7904,Caoimhin Kelleher,43.75,True,low name-match confidence,Caoimhín Kelleher,Caoimhín Kelleher,43.75,True,low name-match confidence,True,0
112,Mads Roerslev Rasmussen,Brentford,7166,Mathias Jensen,48.46153846153846,True,low name-match confidence,Mathias Jensen,Mathias Jensen,48.46153846153846,True,low name-match confidence,True,0
104,Julian Eyestone,Brentford,605,Jordan Henderson,58.06451612903225,True,low name-match confidence,Jordan Henderson,Jordan Henderson,58.06451612903225,True,low name-match confidence,True,0
103,Matthew Cox,Brentford,9733,Nathan Collins,48.0,True,low name-match confidence,Nathan Collins,Nathan Collins,48.0,True,low name-match confidence,True,0
102,Ellery Balcombe,Brentford,7904,Caoimhin Kelleher,53.4375,True,low name-match confidence,Caoimhín Kelleher,Caoimhín Kelleher,53.4375,True,low name-match confidence,True,0
806,Christos Mandas,Bournemouth,10744,Ryan Christie,61.07142857142856,True,low name-match confidence,Ryan Christie,Ryan Christie,61.07142857142856,True,low name-match confidence,True,0
799,Charlie Stevens,Bournemouth,10864,Marcos Senesi,57.14285714285714,True,low name-match confidence,Marcos Senesi,Marcos Senesi,57.14285714285714,True,low name-match confidence,True,0
782,Fraser Forster,Bournemouth,10744,Ryan Christie,51.85185185185186,True,low name-match confidence,Ryan Christie,Ryan Christie,51.85185185185186,True,low name-match confidence,True,0
756,Malcom DaCosta,Bournemouth,10864,Marcos Senesi,44.44444444444444,True,low name-match confidence,Marcos Senesi,Marcos Senesi,44.44444444444444,True,low name-match confidence,True,0
687,Remy Rees-Dottin,Bournemouth,10744,Ryan Christie,50.0,True,low name-match confidence,Ryan Christie,Ryan Christie,50.0,True,low name-match confidence,True,0
